Mattress Savings,Bank Savings,Bonds,Stocks,Total
100.0,102.0,100.84,1006.67,1309.51
100.0,104.04,105.07528,1473.3163900000002,1782.4316700000002
100.0,106.1208,109.84569771200002,1552.4993128319998,1868.4658105439999
100.0,108.243216,107.03364785057282,1208.843614086451,1524.120477937024
100.0,110.40808032000001,116.44190549663819,1652.5595258293815,1979.4095116460198
100.0,112.61624192640001,118.60772493887565,3378.3887768389063,3709.612743704182
100.0,114.868566764928,128.04889984401015,3931.045950394523,4273.9634170034615
100.0,117.16593810022657,133.7726856670374,5768.416827608923,6119.355451376187
100.0,119.5092568622311,140.48807448752268,9194.129162347212,9554.126493696966
100.0,121.89944199947573,142.4268099154505,6720.843916373707,7085.170168288633
100.0,124.33743083946524,148.42297861289097,10240.067015087927,10612.827424540283
100.0,126.82417945625456,154.96843196971946,11314.22627792196,11696.018889347934
100.0,129.36066304537965,163.33672729608432,11178.958334067687,11571.655724409151
100.0,131.94787630628724,160.0373254047034,9751.405354807242,10143.390556518234
100.0,134.586833832413,163.70218015647112,11620.74976132379,12019.038775312674
100.0,137.27857050906127,167.77836444236723,14532.90965151153,14937.966586462959
100.0,140.0241419192425,172.10704624498032,17298.522358194175,17710.653546358397
100.0,142.82462475762736,178.64711400228958,23494.85306689933,23916.324805659246
100.0,145.6811172527799,184.23876867056126,21514.236953359716,21944.156839283056
100.0,148.5947395978355,185.93376534233045,22632.977274934423,23067.505779874587
100.0,151.56663438979223,189.5594737665059,23923.056979605684,24364.183087761983
100.0,154.59796707758807,198.39294524402507,28300.976406873528,28753.96731919514
100.0,157.68992641913982,199.2460349085744,37020.50723783126,37477.44319915897
100.0,160.84372494752262,198.64829680384867,45786.963351749706,46246.45537350108
100.0,164.06059944647308,203.15761314129603,54097.297200092275,54564.51541268004
100.0,167.34181143540255,211.5683383253457,53442.719903971156,53921.630053731904
100.0,170.6886476641106,218.52893665624956,81532.2134854984,82021.43106981876
100.0,174.1024206173928,215.6006489050558,108111.71508177089,108601.41815129334
100.0,177.58446902974066,210.72807423980154,116155.22668385465,116643.53922712419
100.0,181.13615841033547,225.05758328810805,104005.38997272345,104511.5837144219
100.0,184.75888157854217,220.33137403905778,149476.54646879816,149981.63672441576
100.0,188.45405921011303,214.49259262702276,167503.41797293522,168006.36462477237
100.0,192.2231403943153,239.45953040880823,168072.9295940432,168604.61226484634
100.0,196.0676032022016,244.39239673522968,212847.55803789632,213388.01803783374
100.0,199.98895526624565,258.29832410946426,194095.68817475764,194653.97545413335
100.0,203.98873437157056,262.6377359545032,237980.72327107034,238547.3497413964
100.0,208.06850905900197,272.43412350560624,277057.1580321801,277637.66066474473
100.0,212.22987924018202,274.3956491948466,311412.24562817044,311998.8711566055
100.0,216.47447682498566,282.3805625864166,280364.44473904185,280963.29977845325
100.0,220.80396636148538,277.9189496975512,347091.18258693384,347689.90550299286
100.0,225.2200456887151,287.00689935266115,384611.7394245814,385223.9663696228
100.0,229.7244466024894,272.6278536950928,352919.73209599586,353522.08439629345
100.0,234.31893553453918,318.29301918902087,365483.67455861333,366136.2865133369
100.0,239.00531424522995,349.45390576762605,417455.4530808481,418143.912300861
100.0,243.78542053013456,359.3085059102731,495770.0960788152,496473.1900052556
100.0,248.66112894073726,372.4591972265891,424825.3953299367,425546.515656104
100.0,253.634351519552,379.87113525139824,314795.6179394831,315529.123426254
100.0,258.70703854994304,393.58448323397374,431269.99657709186,432022.2880988758
